experimento,foto,pico,Intensidad_max,tiempo_max,Intensidad_min,tiempo_min,Amplitud,TTP,TTP_manual
200121,C1a000,1,43.19,125,17.89,118,1.41419787590833,7,4.9498023715415
200121,C1a000,2,42.64,360,16.8,354,1.53809523809524,6,3.90092879256965
200121,C2a000,1,59.38,44,27.87,38,1.13060638679584,6,5.30688670263407
200121,C2a000,2,56.36,279,25.23,271,1.23384859294491,8,6.48377770639253
200121,C3a000,1,61,84,25.76,79,1.36801242236025,5,3.65493757094211
200121,C3a000,2,57.36,321,25.83,313,1.22067363530778,8,6.55375832540439
30321,C1a000,1,190.6,181,31,168,5.14838709677419,13,2.52506265664161
30321,C1a000,2,188.2,413,31.2,401,5.03205128205128,12,2.38471337579618
30321,C2a000,1,90.81,90,23.85,82,2.80754716981132,8,2.8494623655914
30321,C2a000,2,89.77,323,23.45,318,2.82814498933902,5,1.76794330518697
30321,C3a000,1,39.52,150,22.07,136,0.790666062528319,14,17.7065902578797
30321,C3a000,2,40.04,382,21.52,370,0.860594795539033,12,13.9438444924406
30321,C4a000,1,75.09,91,20.15,82,2.72655086848635,9,3.3008736803786
30321,C4a000,2,72.5,331,19.06,316,2.80377754459601,15,5.3499251497006
240221,C1a000,1,59.12,184,15.84,170,2.73232323232323,14,5.12384473197782
240221,C1a000,2,56.11,417,15.44,405,2.63406735751295,12,4.55569215638063
240221,C2a000,1,70.77,35,18.05,23,2.9207756232687,12,4.10849772382397
240221,C2a000,2,68.05,267,17.2,258,2.95639534883721,9,3.04424778761062
240221,C3a000,1,29.65,118,21.43,109,0.383574428371442,9,23.463503649635
240221,C3a000,2,29.36,350,20.96,341,0.400763358778626,9,22.4571428571429
60320,1a000,1,40.75,160,16.73,150,1.43574417214585,10,6.96502914238133
60320,1a000,2,42.23,393,16.56,382,1.55012077294686,11,7.09622126996494
120121,1a000,1,82.5,106,25.02,95,2.29736211031175,11,4.78810020876827
120121,1a000,2,81.51,337,24.02,329,2.39342214820983,8,3.34249434684292
120121,2a000,1,112.72,148,33.57,134,2.35775990467679,14,5.93783954516742
120121,2a000,2,109.5,382,36.75,369,1.97959183673469,13,6.56701030927836
120121,3a000,1,62.98,59,14.1,51,3.46666666666667,8,2.30769230769231
120121,3a000,2,64.79,293,15.28,284,3.2401832460733,9,2.77762068269036
120121,4a000,1,71.33,161,14.96,148,3.76804812834225,13,3.45006208976406
120121,4a000,2,71.88,396,15.13,383,3.75082617316589,13,3.46590308370045
120121,5a000,1,42.98,86,9.43,78,3.55779427359491,8,2.24858420268256
120121,5a000,2,43.2,322,8.98,310,3.81069042316258,12,3.1490356516657
311019,c1a000,1,43.81,55,12.2,48,2.59098360655738,7,2.70167668459348
311019,c1a000,2,47.1,290,12.97,281,2.63145720894372,9,3.42015821857603
311019,c6a000,1,54.72,43,3.14,31,16.4267515923567,12,0.730515703761147
311019,c6a000,2,52.98,277,3.1,264,16.0903225806452,13,0.807939053728948
171019,c1a000,1,39.72,65,7.43,53,4.34589502018843,12,2.76122638587798
171019,c1a000,2,40.99,297,9.35,288,3.38395721925134,9,2.65960809102402
71119,c1a002,1,82.51,160,29.26,149,1.81989063568011,11,6.04431924882629
71119,c1a002,2,76.66,390,29.34,383,1.61281526925699,7,4.34023668639053
70119,c3a001,1,101.48,152,21.14,145,3.8003784295175,7,1.8419218322131
70119,c3a001,2,98.89,360,21.33,349,3.6361931551805,11,3.02514182568334
70119,c4a001,1,146,115,33,108,3.42424242424242,7,2.04424778761062
70119,c4a001,2,142.4,319,32.1,313,3.43613707165109,6,1.74614687216682
70119,c5a001,1,160.4,128,56.9,115,1.81898066783831,13,7.14685990338165
70119,c5a001,2,145.7,333,64.6,317,1.25541795665635,16,12.7447595561035
70119,c6a001,1,144.1,92,45.3,84,2.18101545253863,8,3.66801619433199
70119,c6a001,2,146.1,299,46.8,290,2.12179487179487,9,4.24169184290031
70119,c7a000,1,110.31,156,30.08,143,2.66722074468085,13,4.87398728655117
70119,c7a000,2,116.51,360,30.59,348,2.80876103301733,12,4.27234636871508
