,max_peaks_positions,max_peaks_intensities,min_peaks_positions,min_peaks_intensities,amplitudes,times_to_peaks,file,TTP_norm
0,37,30,18,13,1.30769228935242,19,200121_analysis_result_c1a000.json,14.5294119684754
1,272,29,253,13,1.23076927661896,19,200121_analysis_result_c1a000.json,15.4374994249083
8,28,43,9,20,1.14999997615814,19,200121_analysis_result_c2a000.json,16.5217394729643
9,262,42,241,19,1.21052634716034,21,200121_analysis_result_c2a000.json,17.3478256373865
12,31,42,13,19,1.21052634716034,18,200121_analysis_result_c3a000.json,14.8695648320456
13,266,41,247,19,1.15789473056793,19,200121_analysis_result_c3a000.json,16.4090909980053
22,71,197,45,23,7.5652174949646,26,030321_analysis_result_C1a000.json,3.43678156210387
23,305,194,283,23,7.4347825050354,22,030321_analysis_result_C1a000.json,2.95906436874245
24,51,61,30,17,2.58823537826538,21,030321_analysis_result_C2a000.json,8.11363609984888
25,285,61,265,17,2.58823537826538,20,030321_analysis_result_C2a000.json,7.72727247604655
26,61,29,39,16,0.8125,22,030321_analysis_result_C3a000.json,27.0769230769231
27,296,28,275,16,0.75,21,030321_analysis_result_C3a000.json,28
28,41,54,20,14,2.85714292526245,21,030321_analysis_result_C4a000.json,7.34999982476235
29,275,51,254,13,2.92307686805725,21,030321_analysis_result_C4a000.json,7.18421066154074
58,71,42,48,12,2.5,23,240221_analysis_result_C1a000.json,9.2
59,304,40,282,12,2.33333325386047,22,240221_analysis_result_C1a000.json,9.42857174970668
60,29,52,4,13,3,25,240221_analysis_result_C2a000.json,8.33333333333333
61,263,51,240,13,2.92307686805725,23,240221_analysis_result_C2a000.json,7.86842120073509
62,40,21,21,16,0.3125,19,240221_analysis_result_C3a000.json,60.8
63,274,21,254,16,0.3125,20,240221_analysis_result_C3a000.json,64
86,52,29,33,12,1.41666662693024,19,060320_analysis_result_1a000.json,13.4117650820722
87,286,29,267,12,1.41666662693024,19,060320_analysis_result_1a000.json,13.4117650820722
92,35,60,15,18,2.33333325386047,20,120121_analysis_result_1a000.json,8.57142886336971
93,270,60,250,18,2.33333325386047,20,120121_analysis_result_1a000.json,8.57142886336971
96,56,89,34,27,2.29629635810852,22,120121_analysis_result_2a000.json,9.58064490339635
97,291,88,267,27,2.25925922393799,24,120121_analysis_result_2a000.json,10.6229509857514
100,39,44,18,10,3.40000009536743,21,120121_analysis_result_3a000.json,6.17647041498997
101,273,44,248,10,3.40000009536743,25,120121_analysis_result_3a000.json,7.35294097022615
102,45,52,24,11,3.72727274894714,21,120121_analysis_result_4a000.json,5.63414630870037
103,280,52,258,11,3.72727274894714,22,120121_analysis_result_4a000.json,5.90243899006705
104,49,30,30,7,3.28571438789368,19,120121_analysis_result_5a000.json,5.78260851582417
105,284,30,265,7,3.28571438789368,19,120121_analysis_result_5a000.json,5.78260851582417
106,49,33,30,9,2.66666674613953,19,311019_analysis_result_c1a000.json,7.12499978765845
107,284,32,263,9,2.55555558204651,21,311019_analysis_result_c1a000.json,8.21739121916614
118,36,37,15,2,17.5,21,311019_analysis_result_c6a000.json,1.2
119,271,35,250,2,16.5,21,311019_analysis_result_c6a000.json,1.27272727272727
120,34,30,13,6,4,21,171019c1sel_analysis_result_c1a000.json,5.25
121,269,29,248,6,3.83333325386047,21,171019c1sel_analysis_result_c1a000.json,5.47826098314081
138,50,56,25,21,1.66666662693024,25,071119c1sel_analysis_result_c1a002.json,15.0000003576279
139,284,56,264,21,1.66666662693024,20,071119c1sel_analysis_result_c1a002.json,12.0000002861023
140,60,113,42,24,3.70833325386047,18,070119Ctrol4_analysis_result_c4a000.json,4.85393268829373
141,265,113,247,24,3.70833325386047,18,070119Ctrol4_analysis_result_c4a000.json,4.85393268829373
142,43,115,25,34,2.38235282897949,18,070119Ctrol6_analysis_result_c6a000.json,7.55555591138468
143,249,125,229,34,2.67647051811218,20,070119Ctrol6_analysis_result_c6a000.json,7.47252766830654
144,41,65,23,16,3.0625,18,070119Ctrol3_analysis_result_c3a001.json,5.87755102040816
145,246,64,227,15,3.26666665077209,19,070119Ctrol3_analysis_result_c3a001.json,5.81632655891267
146,50,150,27,41,2.65853667259216,23,070119Ctrol5_analysis_result_c5a001.json,8.65137586293826
147,255,137,210,44,2.11363625526428,23,070119Ctrol5_analysis_result_c5a001.json,10.881720988044
148,110.31,156,30.08,143,2.66722074468085,13,070119Ctrol7_analysis_result_c5a001.json,4.87398728655117
149,116.51,360,30.59,348,2.80876103301733,12,070119Ctrol7_analysis_result_c5a001.json,4.27234636871508
